Sligro;ivp;vp;maat;eh;Sligro artikelomschrijving;prijs;Categorie;Subcategorie;barcode;Leverancier
756517.1;1;st;;;Winesaver giftpack;8.50;o;Restaurantbenodigdheden;84256098141;Sligro
342478.1;1;st;;;Microplane professional rasp grof;21.14;o;Keukengereedschappen;98399380001;Sligro
781224.1;1;pk;625;st;Foodsecure dagl beschrijfb 25x25 maa zob;8.31;o;Keukengereedschappen;182919942059;Sligro
55819.1;1;pk;625;st;Foodsecure daglabel beschrijfb 25x25 zaterdag;8.31;o;Keukengereedschappen;182919942508;Sligro
55937.1;1;ds;;;Champagne flute 15cl;5.94;o;Glaswerk;615905647177;Sligro
55945.1;1;pt;100;gr;Flavored sesame garlic;2.04;f;Oosterse keuken;640700003040;Sligro
881883.1;1;pt;100;gr;Flavored sesame smoked;2.04;f;Oosterse keuken;640700003057;Sligro
881891.1;1;bl;5;lt;Olitalia olijfolie extra vierge;27.60;f;Olien;657738000439;Sligro
277738.1;1;st;;;Pansaver 1/3gn+1/4gn diep         4-5,7l;37.81;o;Verpakkingsmat./dispos. grootv;658128450100;Sligro
270058.1;1;st;;;Pansaver 1/6gn diep h150mm          2,4l;37.81;o;Verpakkingsmat./dispos. grootv;658128450506;Sligro
557882.1;1;st;;;Oxo spatel groot flexibel 30cm;9.03;o;Keukengereedschappen;719812018447;Sligro
557874.1;1;fl;420;ml;Tung chun oystersauce;2.57;f;Oosterse keuken;726003023043;Sligro
515291.1;1;fl;500;gr;Mississippi barbecue sauce;2.38;f;Snack- en tafelsauzen;743639000026;Sligro
358699.1;1;fl;14.73;kg;Mississippi barbecue sauce sweet ’n mild;4.70;f;Snack- en tafelsauzen;743639100153;Sligro
358767.1;1;st;;;Caiza reinigingtabl (schaeren/v/c.a,wmf);26.79;o;Reinigingsmiddelen;754631600176;Sligro
358657.1;1;ds;72;st;Brandpasta blue blaze;57.95;o;Brandpasta’s;794666221991;Sligro
359865.1;1;st;;;Meloen galia 5;2.14;f;Groenten en fruit dagvers;821783413012;Sligro
357936.1;1;rl;;;Simple human afvalzak 25l code f;5.37;o;Opbergen en afvalverzamelen;838810003160;Sligro
717665.1;1;rl;;;Simple human afvalzak 40l code j;5.65;o;Opbergen en afvalverzamelen;838810003207;Sligro
717712.1;1;rl;;;Simple human afvalzak 45l code m;6.60;o;Opbergen en afvalverzamelen;838810003245;Sligro
105884.1;1;st;;;Escali weegschaal mercado 5kg rvs;24.94;o;Keukengereedschappen;857817000965;Sligro
109383.1;1;ls;;;Arcoroc waterkan broc 1ltr;2.66;o;Glaswerk;883314112429;Sligro
109231.1;1;st;;;Arcoroc waterkan broc 0,5ltr;2.38;o;Glaswerk;883314112474;Sligro
109312.1;1;kg;;;Corte buona mortadella;6.55;f;Vleeswaren bulk;2130200000000;Sligro
165088.1;1;pk;1.4;kg;Gouden banier gekookte gelderse worst;3.86;f;Vleeswaren verpakt;2133180000000;Sligro
165075.1;1;kg;;;Gouden banier kipfilet naturel;6.95;f;Vleeswaren bulk;2133190000000;Sligro
21404.1;1;kg;;;Gouden banier slagersachterham 1/2;9.74;f;Vleeswaren bulk;2133290000000;Sligro
181372.1;1;kg;;;Gegrilde mini beenham;9.26;f;Vleeswaren bulk;2136020000000;Sligro
299798.1;1;kg;;;Ontbijtspek plat;10.17;f;Vleeswaren bulk;2136260000000;Sligro
382761.1;1;kg;;;Zalmfilet noors met vel;26.32;f;Vis vers;2140030000000;Sligro
619728.1;1;kg;;;Zalmfilet noors met velgeportioneerd;18.95;f;Vis vers;2140040000000;Sligro
811375.1;1;kg;;;Zalmfilet noors zonder vel;22.23;f;Vis vers;2140050000000;Sligro
455849.1;1;kg;;;Zalmfilet noors zonder vel,geportioneerd;27.17;f;Vis vers;2140060000000;Sligro
811579.1;1;kg;;;Tonijnfilet;30.07;f;Vis vers;2140080000000;Sligro
455970.1;1;kg;;;Tonijnfilet geportioneerd;35.25;f;Vis vers;2140090000000;Sligro
811838.1;1;kg;;;Zeebaarsfilet kweek met vel 90-110g;17.81;f;Vis vers;2140130000000;Sligro
352025.1;1;kg;;;Zeebaarsfilet kweek met vel port;22.56;f;Vis vers;2140140000000;Sligro
345332.1;1;kg;;;Zeebaars 400-600gram gekweekt;9.26;f;Vis vers;2140150000000;Sligro
470514.1;1;kg;;;Dorade royalfilet geschubd 90-110g;17.05;f;Vis vers;2140160000000;Sligro
470255.1;1;kg;;;Dorade royalfilet geschubd geportioneerd;24.23;f;Vis vers;2140170000000;Sligro
812004.1;1;kg;;;Dorade royal heel 400/600gr;11.16;f;Vis vers;2140180000000;Sligro
991316.1;1;kg;;;Heilbotfilet groenland;16.63;f;Vis vers;2140190000000;Sligro
247738.1;1;kg;;;Heilbotfilet groenland geportioneerd;18.76;f;Vis vers;2140210000000;Sligro
107815.1;1;kg;;;Scholfilet 1 zonder vel msc;13.25;f;Vis vers;2140230000000;Sligro
135509.1;1;kg;;;Makreel heel;5.56;f;Vis vers;2140290000000;Sligro
361456.1;1;kg;;;Rode forelfilet mv 200-400g;12.83;f;Vis vers;2140300000000;Sligro
62065.1;1;kg;;;Zeewolffilet ijslands geportioneerd;14.20;f;Vis vers;2140370000000;Sligro
650774.1;1;st;;;Tomaat a;2.14;f;Groenten en fruit dagvers;2155090000000;Sligro
161482.1;1;st;;;Rabarber;2.38;f;Groenten en fruit dagvers;2155910000000;Sligro
239471.1;1;st;;;Peen winter paars;2.61;f;Groenten en fruit dagvers;2156150000000;Sligro
288616.1;1;st;1;kg;Grana padano;15.30;f;Kaas buitenland uitsnij;2161720000000;Sligro
344776.1;1;st;3;kg;Manchego 3 maanden gerijpt;16.29;f;Kaas buitenland uitsnij;2161730000000;Sligro
138023.1;1;st;9;kg;Fontina aosta dop;17.05;f;Kaas buitenland uitsnij;2161740000000;Sligro
288412.1;1;ds;70;st;Delifrance chocoladebroodje bake-off;21.81;f;Broodproducten diepvries;2181810000000;Sligro
234793.1;1;pk;1;kg;Rode schotse zalm gesneden gerookt;22.75;f;Vis gekoeld;2331153010805;Sligro
456701.1;1;st;1;kg;Brie rechthoek;9.64;f;Kaas buitenland uitsnij;2777220010048;Sligro
356370.1;1;st;;;Sla frise fijn;1.85;f;Groenten en fruit dagvers;3000002048595;Sligro
757482.1;1;st;;;Broccoli mk;1.09;f;Groenten en fruit dagvers;3000026038633;Sligro
757762.1;1;st;;;Aardappelen roseval kriel;4.70;f;Groenten en fruit dagvers;3000030044279;Sligro
754955.1;1;pk;1;lt;Garde d’or saus bearnaise;4.84;f;Vlees- vis en groentesauzen;3011360014344;Sligro
275736.1;1;pk;800;gr;Alsa mousse citron;13.54;d;Patisserieprodukten;3011360038654;Sligro
220702.1;1;st;850;gr;Knorr rode wijn saus;12.59;f;Vlees- vis en groentesauzen;3011360041951;Sligro
