ArtikelID;Omschrijving;Eenheid;Inhoud;Prijs;Barcode;Leverancier;Categorie;Subcategorie;;
HA61729.1;Oerlemans romanesco;zk;2,5 kg;x/2;8710816800160;havi;f;groen&fruit diepvr. foodservic;;
HA61800;Pain parisien wit18x400g stokb;ds;18 * 400 gr;7.33;8717973640103;havi;f;brood banket & cereals;;
HA61800.1;Pain parisien wit18x400g stokb;ds;18 * 400 gr;x;61800;havi;f;brood banket & cereals;;
HA61801;Baguette wit 28x250gr;ds;28 * 250 gr;8.49;8717973641520;havi;f;brood banket & cereals;;
HA61801.1;Baguette wit 28x250gr;ds;28 * 250 gr;x;61801;havi;f;brood banket & cereals;;
HA61806;Kaiserbroodje sesam 100x65gr;ds;100 * 65 gr;8.97;8717973642596;havi;f;brood banket & cereals;;
HA61806.1;Kaiserbroodje sesam ;ds;100 * 65 gr;x;61806;havi;f;brood banket & cereals;;
HA61809;Schnittbrotchen bruin;ds;100 * 65 gr;8.2;8717973642664;havi;f;brood banket & cereals;;
HA61809.1;Schnittbrotchen bruin ;st;100 * 65 gr;x;8717973649908;havi;f;brood banket & cereals;;
HA61809.2;Schnittbrotchen bruin ;ds;100 * 65 gr;x;8717973642664;havi;f;brood banket & cereals;;
HA61809.3;Schnittbrotchen bruin ;ds;100 * 65 gr;x;8719259202661;havi;f;brood banket & cereals;;
HA61810;Italiaanse bol;ds;8 zak;8.49;8710261079173;havi;f;brood banket & cereals;;
HA61810.1;Italiaanse bol 48x120gr;ds;48 * 120 gr;x;61810;havi;f;brood banket & cereals;;
HA61810.2;Italiaanse bol 48x120gr;ds;48 * 120 gr;x;8719259264485;havi;f;brood banket & cereals;;
HA61812;Mini assorti luxe 180x35gr;ds;180 * 35 gr;16.5;8717973642411;havi;f;brood banket & cereals;;
HA61812.1;Mini assorti luxe ;ds;180 * 35 gr;x;61812;havi;f;brood banket & cereals;;
HA61813;Panini tuinkruiden 63x110gr BA;ds;63 * 110 gr;16.55;8717973641661;havi;f;brood banket & cereals;;
HA61813.1;Panini tuinkruiden BA;ds;63 * 110 gr;x;61813;havi;f;brood banket & cereals;;
HA61815;Kaiserbroodje wit 100x65gr;ds;100 * 65 gr;6.95;8717973642503;havi;f;brood banket & cereals;;
HA61815.1;Kaiserbroodje wit ;ds;100 * 65 gr;x;61815;havi;f;brood banket & cereals;;
HA61816;Volgranenbol 60x100gr;ds;60 * 100 gr;16.35;8717973643122;havi;f;brood banket & cereals;;
HA61816.1;Volgranenbol ;ds;60 * 100 gr;x;61816;havi;f;brood banket & cereals;;
HA61816.2;Volgranenbol ;ds;60 * 100 gr;x;8719259203125;havi;f;brood banket & cereals;;
HA61817;Milano broodje 64x100gr BA;ds;64 * 100 gr;17.8;8717973646327;havi;f;brood banket & cereals;;
HA61817.1;Milano broodje BA;ds;64 * 100 gr ;x;61817;havi;f;brood banket & cereals;;
HA61817.2;Milano broodje;ds;8 * 100 gr;x;8710261079197;havi;f;brood banket & cereals;;
HA61823;Mini assorti Bakzak 4x 30*35gr;ds;4 * 30 * 35 gr;15.75;8717973642428;havi;f;brood banket & cereals;;
HA61823.1;Mini assorti Bakzak ;ds;4 * 30 * 35 gr;x;61823;havi;f;brood banket & cereals;;
HA61824;Desem vloerbr wit 9x800gr BA;ds;9 * 800 gr;17.4;8717973644705;havi;f;brood banket & cereals;;
HA61824.1;Desem vloerbr wit  BA;ds;9 * 800 gr;x;61824;havi;f;brood banket & cereals;;
HA61825;Desem vloerbr donker 9x800g BA;ds;9 * 800 gr;18.6;8717973644712;havi;f;brood banket & cereals;;
HA61825.1;Desem vloerbr donkerBA;ds;9 * 800g ;x;61825;havi;f;brood banket & cereals;;
HA61828;Vloerbroodje Rustique 48x110g;ds;48 * 110 gr;7.25;8717973643401;havi;f;brood banket & cereals;;
HA61828.1;Vloerbroodje Rustique ;ds;48 * 110 gr;x;81828;havi;f;brood banket & cereals;;
HA61829;Focaccia naturel 29x39cm 8x750;ds;29 * 39 cm;24.99;8717973644552;havi;f;brood banket & cereals;;
HA61829.1;Focaccia naturel 29x39cm ;ds;8 * 750;x;61829;havi;f;brood banket & cereals;;
HA61829.2;Focaccia zacht;ds;;x;8718627168363;havi;f;brood banket & cereals;;
HA61830;Focaccia meergr. 29x39cm 8x750;ds;29 * 39 cm;24.99;8717973644567;havi;f;brood banket & cereals;;
HA61830.1;Focaccia meergr. 29x39cm ;ds;8 x750;x;61830;havi;f;brood banket & cereals;;
HA61830.2;Focaccia meergranen;ds;;x;8717903672884;havi;f;brood banket & cereals;;
HA61831;Desem bol 60x100gr;ds;60 * 100 gr;23.6;8717903670866;havi;f;brood banket & cereals;;
HA61831.1;Desem bol ;ds;60 * 100 gr;x;8717973643081;havi;f;brood banket & cereals;;
HA61832;Danvo petit pain bruin;ds;24*80 gr;8.66;8717973642169;havi;f;brood banket & cereals;;
HA61832.1;Danvo petit pain bruin;ds;24*80 gr;x;61832;havi;f;brood banket & cereals;;
HA61832.2;Danvo petit pain bruin;ds;24 * 80 gr;x;8719259202166;havi;f;brood banket & cereals;;
HA61833;Danvo petit pain wit;ds;24*80 gr;8.66;8717973642152;havi;f;brood banket & cereals;;
HA61833.1;Danvo petit pain wit;ds;24*80 gr;x;61833;havi;f;brood banket & cereals;;
HA61833.2;Danvo petit pain wit;ds;24*80 gr;x;8719259202159;havi;f;brood banket & cereals;;
HA61834;Mini italiano bolletje;ds;180*35 gr;16.49;8717973642466;havi;f;brood banket & cereals;;
HA61834.1;Mini italiano bolletje;ds;180*35 gr;x;61834;havi;f;brood banket & cereals;;
HA61835;Mini meergranen bolletje;ds;180*35 gr;16.49;8717973642312;havi;f;brood banket & cereals;;
HA61835.1;Mini meergranen bolletje;ds;180*35 gr;x;61835;havi;f;brood banket & cereals;;
HA61836;Joepies hartig ;ds;180 * 15 gr;22.22;8719259710005;havi;f;brood banket & cereals;;
HA61837;Joepies zoet;ds;180 * 15 gr;22.22;8719259710012;havi;f;brood banket & cereals;;
HA61839;Dough frisse witte;ds;5 st;16.65;8717973645009;havi;f;brood banket & cereals;;
HA61841;Stoere donker;ds;5 * 1400 gr;16.65;8717973645023;havi;f;brood banket & cereals;;
HA61900;Forel 240-260gr BA;ds;5 kg ;22.76;9000061900333;havi;f;vis & visconserven;;
HA61900.1;Forel 240-260gr BA;ls;1 kg;x/5;61900;havi;f;vis & visconserven;;
HA61901;Roodbaars filets 180- 220gr 5kg;ds;5 kg ;30.32;8717591519225;havi;f;vis & visconserven;;
HA61901.1;Roodbaars filets 180- 220gr 5kg;ls;1 kg;x/5;61901;havi;f;vis & visconserven;;
HA61903;Tilapia filets 140-200gr 10x1kg;ds;10 * 1 kg;51.19;5027891322962;havi;f;vis & visconserven;;
HA61903.1;Tilapia filets 140-200gr 10x1kg;ls;1 kg;x/10;61903;havi;f;vis & visconserven;;
HA61903.2;Tilapia filets 140-200gr;zk;1 kg;x/10;5027891322979;havi;f;vis & visconserven;;
HA61903.3;Tilapia filets 140-200gr;zk;1 kg;x/10;5702008219396;havi;f;vis & visconserven;;
HA61903.4;Tilapia filets 140-200gr;zk;1 kg;x/10;8718104960015;havi;f;vis & visconserven;;
HA61904;Botervissteaks 180/220gr BA;ds;10 * 1 kg;98.08;8717306351614;havi;f;vis & visconserven;;
HA61904.1;Botervis & visconservensteaks 180/220 ;ls;1 kg;x/10;61904;havi;f;vis & visconserven;;
HA61905;Tonijn steaks 180/200gr 10kg;ds;10 kg;83.3;8717306351584;havi;f;vis & visconserven;;
HA61905.1;Tonijn steaks 180/200gr 10kg;ls;1 kg;x/10;61905;havi;f;vis & visconserven;;
HA61905.2;Tonijn steaks 180/200gr;zk;1 kg;x/10;8717228425639;havi;f;vis & visconserven;;
HA61906;Garnaal chili 200/300 4x2,5kg;ds;4 * 2,5 kg;213.56;94413;havi;f;vis & visconserven;;
HA61906.1;Garnaal chili 200/300 4x2,5kg;ls;1 kg;x/10;61906;havi;f;vis & visconserven;;
HA61907;Pangasius fil.HM 170/220 10x1kg;ds;10 * 1 kg;27.73;8717306350150;havi;f;vis & visconserven;;
HA61907.1;Pangasius fil.HM 170/220 ;ls;1 kg;x/10;61907;havi;f;vis & visconserven;;
HA61907.2;Pangasius fil.HM 170/220;zk;1 kg;x/10;8717306351300;havi;f;vis & visconserven;;
HA61911;Garnaal knoflook 16/20 10kg.;ds;10 kg;172.76;8713913001584;havi;f;vis & visconserven;;
HA61911.1;Garnaal knoflook 16/20 10kg.;ls;1 kg;x/10;91911;havi;f;vis & visconserven;;
HA61912;Kreeft popsicle 10x300g BA;ds;10 * 300 gr;65.46;9000061912333;havi;f;vis & visconserven;;
HA61912.1;Kreeft popsicle 10x300g BA;ls;1 kg;x/3;61912;havi;f;vis & visconserven;;
HA61913;Zeeduivel Lotte Fil100/200g BA;ds;5 kg;107.1;9000000061913;havi;f;vis & visconserven;;
HA61913.1;Zeeduivel Lotte Fil100/200g BA;ls;1 kg;x/5;61913;havi;f;vis & visconserven;;
HA61914;Garnaal BT Hoso 8/12;ds;10 kg;190.62;8717853671463;havi;f;vis & visconserven;;
HA61914.1;Garnaal BT Hoso 8/12;ds;1 kg;x/10;61914;havi;f;vis & visconserven;;
HA61920;Forel filet gerookt;ds;100 * 100 gr;119;8717306351041;havi;f;vis & visconserven;;
HA61920.1;Forel filet gerookt;ls;1 kg;x/10;61920;havi;f;vis & visconserven;;
HA61920.2;Forel filet ;pk;100 gr;x/100;8717306351034;havi;f;vis & visconserven;;
HA62000;Zalm snippers ger. High Seas;ds;;77.36;8713456000150;havi;f;vis & visconserven;;
HA62000.1;Zalm snippers ger. High Seas;ls;1 kg;x/10;62000;havi;f;vis & visconserven;;
HA62001;Scholfilet ZH 5kg;ds;5 kg;35.03;8713456001638;havi;f;vis & visconserven;;
HA62001.1;Scholfilet ZH 5kg;ls;1 kg;x/5;62001;havi;f;vis & visconserven;;
HA62003;Tong slib 5kg;ds;5 kg;54.75;8717344790307;havi;f;vis & visconserven;;
HA62003.1;Tong slib 5kg;ls;1 kg;x/5;62003;havi;f;vis & visconserven;;
HA62006;Zalm zijde Noors ger/ges +-12k;ds;12 kg;197.76;2331147106620;havi;f;vis & visconserven;;
HA62006.1;Zalm zijde Noors ger/ges +-12k;ls;1 kg;x/12;62006;havi;f;vis & visconserven;;
HA62006.2;Zalm zijde Noors ger/ges +-12k;ls;1 kg;x;2331147121500;havi;f;vis & visconserven;;
